City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nishihara,JP,2022-10-01 18:44:37,26.1842,127.7558,78.85,86,40,5.75
1,Saint-Philippe,RE,2022-10-01 18:44:38,-21.3585,55.7679,67.59,78,44,11.72
2,Bar Harbor,US,2022-10-01 18:44:39,44.3876,-68.2039,62.53,72,0,6.91
3,La Ronge,CA,2022-10-01 18:44:39,55.1001,-105.2842,52.05,71,20,8.05
4,Lorengau,PG,2022-10-01 18:44:40,-2.0226,147.2712,80.94,79,21,10.07
5,Mosquera,CO,2022-10-01 18:43:00,4.7059,-74.2302,62.69,59,75,21.85
6,Nuuk,GL,2022-10-01 18:44:40,64.1835,-51.7216,36.21,93,75,8.05
7,Rikitea,PF,2022-10-01 18:44:40,-23.1203,-134.9692,73.6,73,34,12.8
8,Thompson,CA,2022-10-01 18:44:40,55.7435,-97.8558,48.36,46,0,6.91
9,Turukhansk,RU,2022-10-01 18:44:41,65.8167,87.9833,29.79,80,100,6.44
10,Chuy,UY,2022-10-01 18:44:41,-33.6971,-53.4616,63.14,66,8,9.62
11,Jacareacanga,BR,2022-10-01 18:44:41,-6.2222,-57.7528,99.39,29,100,4.63
12,Avarua,CK,2022-10-01 18:44:41,-21.2078,-159.775,73.45,49,100,5.75
13,Kruisfontein,ZA,2022-10-01 18:44:41,-34.0033,24.7314,58.89,80,99,2.37
14,Huarmey,PE,2022-10-01 18:44:42,-10.0681,-78.1522,69.04,70,16,12.24
15,Barentu,ER,2022-10-01 18:44:42,15.1139,37.5928,81.36,44,94,1.74
16,Poya,NC,2022-10-01 18:44:42,-21.35,165.15,65.88,76,67,1.52
17,Mahebourg,MU,2022-10-01 18:43:09,-20.4081,57.7,71.89,68,75,14.97
18,Ormara,PK,2022-10-01 18:44:43,25.2088,64.6357,79.9,80,11,11.54
19,Vulcan,RO,2022-10-01 18:40:41,45.3833,23.2667,54.99,94,100,2.17
20,Mataura,NZ,2022-10-01 18:44:43,-46.1927,168.8643,33.55,97,21,1.77
21,Albany,US,2022-10-01 18:44:43,42.6001,-73.9662,65.77,60,98,2.55
22,Klaksvik,FO,2022-10-01 18:44:44,62.2266,-6.589,50.92,88,100,20.29
23,Nador,MA,2022-10-01 18:44:44,35.174,-2.9287,71.85,64,20,10.36
24,Saint-Augustin,CA,2022-10-01 18:44:44,51.226,-58.6502,51.67,33,5,17.02
25,Ponta Do Sol,PT,2022-10-01 18:44:45,32.6667,-17.1,74.01,72,79,4.18
26,Kalmunai,LK,2022-10-01 18:44:45,7.4167,81.8167,81.0,69,100,6.4
27,Provideniya,RU,2022-10-01 18:44:45,64.3833,-173.3,38.37,84,81,17.52
28,Marzuq,YE,2022-10-01 18:44:45,14.4,46.4667,76.32,51,8,5.46
29,San Patricio,US,2022-10-01 18:44:45,28.017,-97.5169,87.75,29,0,9.8
30,Punta Arenas,CL,2022-10-01 18:41:41,-53.15,-70.9167,48.31,43,20,25.32
31,Cape Town,ZA,2022-10-01 18:41:15,-33.9258,18.4232,61.27,72,0,16.11
32,Torbay,CA,2022-10-01 18:44:46,47.6666,-52.7314,64.58,56,75,19.57
33,Nikolskoye,RU,2022-10-01 18:44:46,59.7035,30.7861,42.69,91,100,2.28
34,Jamestown,US,2022-10-01 18:44:46,42.097,-79.2353,61.02,52,0,14.97
35,Ushuaia,AR,2022-10-01 18:44:47,-54.8,-68.3,44.26,61,40,26.46
36,Carnarvon,AU,2022-10-01 18:40:31,-24.8667,113.6333,66.51,74,0,19.53
37,Sitrah,BH,2022-10-01 18:41:02,26.1547,50.6206,87.8,66,0,2.3
38,Kenai,US,2022-10-01 18:44:47,60.5544,-151.2583,46.09,93,0,9.22
39,Atuona,PF,2022-10-01 18:44:47,-9.8,-139.0333,76.26,76,18,16.06
40,Haapiti,PF,2022-10-01 18:44:48,-17.5667,-149.8667,80.33,69,0,7.61
41,Palana,RU,2022-10-01 18:44:48,59.1167,159.9667,35.83,93,100,5.68
42,Tyup,KG,2022-10-01 18:44:48,42.7276,78.3648,42.71,79,100,3.42
43,Kapaa,US,2022-10-01 18:44:48,22.0752,-159.319,81.48,89,20,5.75
44,Esperance,AU,2022-10-01 18:44:49,-33.8667,121.9,53.44,81,100,13.4
45,Magole,TZ,2022-10-01 18:44:49,-6.3667,37.3667,72.46,73,96,5.77
46,Kroya,ID,2022-10-01 18:42:50,-7.6331,109.2461,76.5,91,93,4.43
47,Moose Factory,CA,2022-10-01 18:45:50,51.2585,-80.6094,48.2,53,100,8.05
48,Paamiut,GL,2022-10-01 18:45:50,61.994,-49.6678,36.18,95,100,10.49
49,New Norfolk,AU,2022-10-01 18:45:50,-42.7826,147.0587,44.1,76,26,3.33
50,Castanhal,BR,2022-10-01 18:44:33,-1.2939,-47.9264,79.84,75,100,2.19
51,Russell,US,2022-10-01 18:45:51,32.3502,-85.1999,81.91,32,0,12.66
52,Samarai,PG,2022-10-01 18:45:52,-10.6167,150.6667,81.25,74,12,8.77
53,Bathsheba,BB,2022-10-01 18:45:52,13.2167,-59.5167,88.41,70,40,14.97
54,Batagay-Alyta,RU,2022-10-01 18:45:52,67.8006,130.4114,8.35,88,87,4.63
55,Aklavik,CA,2022-10-01 18:45:52,68.2191,-135.0107,31.75,97,100,12.57
56,Zalaegerszeg,HU,2022-10-01 18:45:12,46.84,16.8439,56.79,87,76,4.23
57,Amapa,BR,2022-10-01 18:45:53,1.0,-52.0,97.21,28,32,4.38
58,Lamar,US,2022-10-01 18:45:53,33.6668,-95.5836,84.97,28,0,3.44
59,Qaanaaq,GL,2022-10-01 18:45:53,77.484,-69.3632,9.84,73,0,6.24
60,Taoudenni,ML,2022-10-01 18:45:53,22.6783,-3.9836,93.63,15,1,7.9
61,Tongren,CN,2022-10-01 18:45:54,27.7172,109.1853,74.88,85,9,2.55
62,Tecoanapa,MX,2022-10-01 18:45:54,16.5167,-98.75,82.87,80,92,7.94
63,Khatanga,RU,2022-10-01 18:45:54,71.9667,102.5,28.36,96,100,13.67
64,Bluff,NZ,2022-10-01 18:45:54,-46.6,168.3333,39.76,88,79,7.31
65,Vaini,TO,2022-10-01 18:45:54,-21.2,-175.2,73.56,78,75,8.05
66,Bredasdorp,ZA,2022-10-01 18:45:14,-34.5322,20.0403,54.36,85,100,4.38
67,Mayo,US,2022-10-01 18:45:55,38.8876,-76.5119,65.17,92,100,5.75
68,Ust-Nera,RU,2022-10-01 18:45:55,64.5667,143.2,19.47,96,100,2.48
69,Tual,ID,2022-10-01 18:45:55,-5.6667,132.75,82.49,76,100,5.86
70,Cidreira,BR,2022-10-01 18:45:55,-30.1811,-50.2056,65.28,72,82,12.95
71,Dikson,RU,2022-10-01 18:45:56,73.5069,80.5464,33.71,99,100,15.66
72,Beloha,MG,2022-10-01 18:45:56,-25.1667,45.05,68.94,81,0,7.58
73,Santa Cruz Cabralia,BR,2022-10-01 18:45:56,-16.2781,-39.0247,75.43,78,75,9.22
74,Norman Wells,CA,2022-10-01 18:45:56,65.282,-126.8329,50.04,81,100,11.5
75,Ucluelet,CA,2022-10-01 18:45:56,48.9329,-125.5528,64.71,90,2,3.2
76,Zlitan,LY,2022-10-01 18:45:57,32.4674,14.5687,78.33,89,95,21.12
77,Irpa Irpa,BO,2022-10-01 18:45:57,-17.7167,-66.2667,82.4,19,3,6.17
78,Usakos,NA,2022-10-01 18:45:57,-22.0,15.6,74.03,29,2,5.35
79,Brigantine,US,2022-10-01 18:45:57,39.4101,-74.3646,65.01,95,100,13.8
80,La Palma,US,2022-10-01 18:45:57,33.8464,-118.0467,79.66,64,100,4.61
81,Airai,TL,2022-10-01 18:45:58,-8.9266,125.4092,60.87,92,100,0.85
82,Olinda,BR,2022-10-01 18:45:58,-8.0089,-34.8553,82.13,61,20,13.8
83,Hasaki,JP,2022-10-01 18:45:56,35.7333,140.8333,63.0,73,6,11.63
84,Gallup,US,2022-10-01 18:45:59,35.5281,-108.7426,70.56,37,0,3.0
85,Faanui,PF,2022-10-01 18:45:59,-16.4833,-151.75,77.77,70,15,9.17
86,Castro,BR,2022-10-01 18:45:59,-24.7911,-50.0119,68.85,70,53,6.69
87,Turkeve,HU,2022-10-01 18:45:59,47.1,20.75,62.65,89,100,10.92
88,Huallanca,PE,2022-10-01 18:46:00,-9.8993,-76.9417,54.61,59,95,9.95
89,Goderich,CA,2022-10-01 18:46:00,43.7501,-81.7165,67.91,55,100,10.36
90,Victoria,HK,2022-10-01 18:41:16,22.2855,114.1577,83.32,87,9,11.01
91,Barrow,US,2022-10-01 18:46:00,71.2906,-156.7887,28.42,74,100,13.8
92,Luang Prabang,LA,2022-10-01 18:46:00,19.8856,102.1347,71.83,100,100,0.89
93,Saint George,US,2022-10-01 18:46:01,37.1041,-113.5841,84.43,28,0,4.0
94,Kodiak,US,2022-10-01 18:47:01,57.79,-152.4072,40.51,87,100,5.75
95,Padang,ID,2022-10-01 18:47:01,-0.9492,100.3543,77.04,91,98,2.57
96,Villamartin,ES,2022-10-01 18:47:01,36.8598,-5.6449,73.35,43,5,6.93
97,Ribeira Grande,PT,2022-10-01 18:46:53,38.5167,-28.7,73.8,83,75,21.85
98,Lavrentiya,RU,2022-10-01 18:47:02,65.5833,-171.0,36.32,74,70,18.01
99,Aykhal,RU,2022-10-01 18:47:02,66.0,111.5,19.47,97,100,5.95
100,Porto Seguro,BR,2022-10-01 18:47:02,-16.4497,-39.0647,75.72,78,75,9.22
101,Kapuskasing,CA,2022-10-01 18:47:03,49.4169,-82.4331,48.29,57,40,6.91
102,Busselton,AU,2022-10-01 18:46:56,-33.65,115.3333,54.54,86,79,15.28
103,Kahului,US,2022-10-01 18:47:03,20.8947,-156.47,82.42,65,40,8.99
104,Ilulissat,GL,2022-10-01 18:47:03,69.2167,-51.1,35.62,69,20,4.61
105,Yellowknife,CA,2022-10-01 18:46:11,62.456,-114.3525,55.92,76,75,10.36
106,Hermanus,ZA,2022-10-01 18:42:53,-34.4187,19.2345,57.79,75,100,9.98
107,Madimba,TZ,2022-10-01 18:47:04,-10.4,40.3333,71.87,82,0,6.76
108,Pacific Grove,US,2022-10-01 18:45:07,36.6177,-121.9166,63.07,87,100,10.0
109,Jumla,NP,2022-10-01 18:47:04,29.2747,82.1838,55.96,91,94,1.36
110,Yuksekova,TR,2022-10-01 18:47:04,37.5736,44.2872,62.35,39,0,9.22
111,Puerto Ayora,EC,2022-10-01 18:47:05,-0.7393,-90.3518,73.36,92,98,5.01
112,Tiksi,RU,2022-10-01 18:47:05,71.6872,128.8694,16.88,91,99,11.97
113,Semirom,IR,2022-10-01 18:47:06,31.4167,51.5667,57.47,19,0,4.14
114,Parana,AR,2022-10-01 18:47:06,-31.732,-60.5238,81.55,31,0,3.33
115,Pali,IN,2022-10-01 18:47:06,25.7667,73.3333,79.9,59,0,10.22
116,Santa Isabel Do Rio Negro,BR,2022-10-01 18:47:06,-0.4139,-65.0192,89.04,55,100,1.07
117,Marsa Matruh,EG,2022-10-01 18:47:06,31.3525,27.2453,82.6,74,0,5.75
118,Ancud,CL,2022-10-01 18:47:07,-41.8697,-73.8203,56.17,53,100,2.28
119,Kamenka,RU,2022-10-01 18:47:07,51.3223,42.7678,59.25,91,100,9.53
120,Whitehorse,CA,2022-10-01 18:47:07,60.7161,-135.0538,44.82,86,75,16.11
121,Chokurdakh,RU,2022-10-01 18:47:07,70.6333,147.9167,22.06,94,100,4.0
122,Bethel,US,2022-10-01 18:47:07,41.3712,-73.414,60.89,55,100,12.66
123,Dover,US,2022-10-01 18:44:39,39.1582,-75.5244,66.99,79,100,11.5
124,Butaritari,KI,2022-10-01 18:47:08,3.0707,172.7902,81.7,75,100,15.14
125,Shimanovsk,RU,2022-10-01 18:47:08,52.0,127.7,40.12,67,100,7.54
126,Chifeng,CN,2022-10-01 18:47:08,42.2683,118.9636,56.28,93,100,4.27
127,Stephenville,US,2022-10-01 18:47:09,32.2207,-98.2023,84.87,26,0,6.91
128,Adrar,MR,2022-10-01 18:47:09,20.5022,-10.0711,87.37,21,0,6.53
129,Nyurba,RU,2022-10-01 18:47:10,63.2842,118.3319,23.22,85,80,3.02
130,Salym,RU,2022-10-01 18:47:10,60.0625,71.4789,26.37,80,78,4.83
131,Rongcheng,CN,2022-10-01 18:47:10,30.634,117.8517,79.47,70,1,3.94
132,Port Alfred,ZA,2022-10-01 18:47:10,-33.5906,26.891,62.85,73,11,0.11
133,Narsaq,GL,2022-10-01 18:47:11,60.9167,-46.05,39.42,94,100,3.85
134,Sur,OM,2022-10-01 18:43:35,22.5667,59.5289,81.45,76,5,14.54
135,Hobart,AU,2022-10-01 18:45:04,-42.8794,147.3294,44.46,87,20,5.75
136,Havelock,US,2022-10-01 18:47:11,34.8791,-76.9013,77.05,71,75,8.05
137,Bengkulu,ID,2022-10-01 18:47:11,-3.8004,102.2655,74.8,93,100,3.11
138,Srikakulam,IN,2022-10-01 18:47:12,18.3,83.9,78.03,86,100,5.95
139,Pangnirtung,CA,2022-10-01 18:47:12,66.1451,-65.7125,35.6,80,75,4.61
140,Mar Del Plata,AR,2022-10-01 18:47:12,-38.0023,-57.5575,68.02,54,0,11.5
141,Cherskiy,RU,2022-10-01 18:47:12,68.75,161.3,29.3,98,100,2.77
142,Lodja,CD,2022-10-01 18:47:14,-3.4833,23.4333,75.81,72,42,2.37
143,Port Elizabeth,ZA,2022-10-01 18:48:13,-33.918,25.5701,61.32,91,20,5.75
144,Srednekolymsk,RU,2022-10-01 18:48:13,67.45,153.6833,25.07,91,100,7.34
145,Vardo,NO,2022-10-01 18:48:13,70.3705,31.1107,37.38,81,100,2.3
146,Hilo,US,2022-10-01 18:48:13,19.7297,-155.09,86.29,58,0,4.61
147,Bandar,ID,2022-10-01 18:46:50,2.05,99.75,73.76,96,100,1.48
148,Broken Hill,AU,2022-10-01 18:48:15,-31.95,141.4333,54.61,66,0,9.91
149,Vila Velha,BR,2022-10-01 18:48:15,-20.3297,-40.2925,76.95,75,40,10.36
150,Los Llanos De Aridane,ES,2022-10-01 18:48:15,28.6585,-17.9182,69.55,75,75,13.8
151,Tasiilaq,GL,2022-10-01 18:48:15,65.6145,-37.6368,39.36,98,100,4.16
152,Arraial Do Cabo,BR,2022-10-01 18:48:16,-22.9661,-42.0278,75.16,68,0,18.41
153,Upata,VE,2022-10-01 18:48:16,8.0086,-62.3989,87.19,54,95,5.08
154,Wanaka,NZ,2022-10-01 18:45:00,-44.7,169.15,36.1,87,98,1.99
155,Marovoay,MG,2022-10-01 18:48:16,-16.1,46.6333,71.33,77,0,3.8
156,Kysyl-Syr,RU,2022-10-01 18:48:16,63.8986,122.7617,22.8,84,82,1.99
157,Salou,ES,2022-10-01 18:48:17,41.0766,1.1416,70.29,71,0,0.0
158,Itarema,BR,2022-10-01 18:48:17,-2.9248,-39.9167,83.05,60,49,19.33
159,Rio Grande,BR,2022-10-01 18:44:22,-32.035,-52.0986,64.51,79,17,13.09
160,Pitimbu,BR,2022-10-01 18:48:19,-7.4706,-34.8086,84.79,67,5,13.65
161,Eyl,SO,2022-10-01 18:48:19,7.9803,49.8164,76.62,79,4,18.68
162,Zholymbet,KZ,2022-10-01 18:48:19,51.7433,71.7122,30.96,58,5,6.55
163,San Lorenzo,PY,2022-10-01 18:48:19,-25.3333,-57.5333,79.74,44,20,9.22
164,Maniwaki,CA,2022-10-01 18:48:19,46.3834,-75.966,61.14,71,100,10.36
165,Amalapuram,IN,2022-10-01 18:45:32,16.5833,82.0167,74.1,99,100,3.02
166,Hithadhoo,MV,2022-10-01 18:47:35,-0.6,73.0833,81.61,72,99,13.33
167,East London,ZA,2022-10-01 18:48:20,-33.0153,27.9116,59.94,94,0,4.61
168,Tieli,CN,2022-10-01 18:48:21,46.95,128.05,47.62,85,95,6.67
169,Bam,IR,2022-10-01 18:43:45,29.106,58.357,80.15,13,0,6.53
170,Jorasti,RO,2022-10-01 18:48:21,45.9833,27.8667,70.48,45,100,8.59
171,Blind River,CA,2022-10-01 18:48:21,46.1834,-82.9582,62.71,61,23,10.63
172,Broome,US,2022-10-01 18:48:21,42.2506,-75.833,65.17,50,75,8.05
173,Chateau-Gontier,FR,2022-10-01 18:48:22,47.8333,-0.7,65.12,82,77,11.72
174,Tomatlan,MX,2022-10-01 18:48:22,19.9333,-105.25,76.05,95,100,1.99
175,Tocache,PE,2022-10-01 18:46:03,-8.1842,-76.5125,86.11,49,100,2.64
176,Kariba,ZW,2022-10-01 18:48:22,-16.5167,28.8,78.28,36,6,4.99
177,Eydhafushi,MV,2022-10-01 18:46:59,5.1033,73.0708,82.26,77,100,19.39
178,Bilma,NE,2022-10-01 18:48:23,18.6853,12.9164,96.62,18,10,7.16
179,Zaterechnyy,RU,2022-10-01 18:48:23,44.7931,45.2097,71.71,47,23,8.68
180,Mana,GF,2022-10-01 18:48:23,5.6592,-53.7767,84.56,70,89,11.39
181,Bambous Virieux,MU,2022-10-01 18:48:23,-20.3428,57.7575,71.85,68,75,14.97
182,Nanortalik,GL,2022-10-01 18:48:24,60.1432,-45.2371,40.84,77,53,2.3
183,Vao,NC,2022-10-01 18:48:24,-22.6667,167.4833,70.41,73,100,11.03
184,Bollnas,SE,2022-10-01 18:48:24,61.3482,16.3946,44.94,93,100,3.13
185,Alice Springs,AU,2022-10-01 18:49:24,-23.7,133.8833,62.15,42,100,5.75
186,Bulungu,CD,2022-10-01 18:49:24,-4.55,18.6,73.31,90,100,5.88
187,Guarapari,BR,2022-10-01 18:49:25,-20.6667,-40.4975,72.9,70,35,12.01
188,Cabaiguan,CU,2022-10-01 18:47:13,22.0789,-79.4992,85.01,62,77,6.11
189,Touros,BR,2022-10-01 18:49:25,-5.1989,-35.4608,80.96,65,20,17.74
